ID1	DataType	ExptNumber	MouseID	strainName	sex	Date	birthDate	ExptDoneBy	Age(days)	Age(wks)	Expr1011	BodyWeight	DrugBottleStartWeight	WaterBottleStartWeight	DrugBottleEndWeight	WaterBottleEndWeight	MeasureDays	d7	d8	d9	d10	d11	d12	d13	DrugDose	Drug	DoseUnits	d14	d15	d16	d17	d18	d19	d20	d21	d22	d23	d24	d25	mg/kg formula check	MouseIDDateMaster	MouseIDDateMDTStatic	MouseIDDateQC	coatColor	origin	Group	nickname	SucrosePreference	OralMethPreference	mgMeth_gMouse_day	d2-d4	d3-d5	d2-d4bias	TestNumber	DrugVolConsumed	WaterVolConsumed	DrugPreferenceScore	DrugMassConsumed
15089	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-05T00:00:00Z	2022-05-03T00:00:00Z	Marina	94	13.4285714285714			82.4000015258789	86.5	81.4000015258789	74.9000015258789	2							Day 1- Day 3		Both Water Bottles															011040_8/5/2022_Oral methamphetamine	011040_8/5/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		1	11.5999984741211	0.0793650895357132	1	1	11.5999984741211	0.0793650889763107	
15099	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-08T00:00:00Z	2022-05-03T00:00:00Z	Marina	97	13.8571428571429			78	74.9000015258789	75.5999984741211	65.0999984741211	2							Day 3- Day 5	20	Methamphetamine drinking	mg_L														011040_8/8/2022_Oral methamphetamine	011040_8/8/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		2.40000152587891	9.80000305175781	0.196721360087395	2	2.40000152587891	9.80000305175781	0.196721362734424	
15109	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-10T00:00:00Z	2022-05-03T00:00:00Z	Marina	99	14.1428571428571			83.4000015258789	82.0999984741211	74.1999969482422	79.8000030517578	2							Day 5- Day 7	20	Methamphetamine drinking	mg_L														011040_8/10/2022_Oral methamphetamine	011040_8/10/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		9.20000457763672	2.29999542236328	0.800000369548798	3	9.2000045776367	2.2999954223633	0.800000398055366	
15119	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-14T00:00:00Z	2022-05-03T00:00:00Z	Marina	103	14.7142857142857			82.0999984741211	79.8000030517578	79.5999984741211	70.3000030517578	2							Day 7- Day 9	40	Methamphetamine drinking	mg_L														011040_8/14/2022_Oral methamphetamine	011040_8/14/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		2.5	9.5	0.20833332836628	4	2.5	9.5	0.208333333333333	
15129	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-16T00:00:00Z	2022-05-03T00:00:00Z	Marina	105	15			79.5999984741211	82.4000015258789	70.3000030517578	80.6999969482422	2							Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011040_8/16/2022_Oral methamphetamine	011040_8/16/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		9.29999542236328	1.70000457763672	0.845454156398773	5	9.2999954223633	1.7000045776367	0.845454129305754	
15091	Oral methamphetamine	SUC0003	011041	DBA/2J	M	2022-08-05T00:00:00Z	2022-05-03T00:00:00Z	Marina	94	13.4285714285714			84	86.8000030517578	72.9000015258789	85.5	2							Day 1- Day 3		Both Water Bottles															011041_8/5/2022_Oral methamphetamine	011041_8/5/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		11.0999984741211	1.30000305175781	0.895161032676697	1	11.0999984741211	1.3000030517578	0.895161057114011	
15101	Oral methamphetamine	SUC0003	011041	DBA/2J	M	2022-08-08T00:00:00Z	2022-05-03T00:00:00Z	Marina	97	13.8571428571429			79.1999969482422	85.5	74.5999984741211	84	2							Day 3- Day 5	20	Methamphetamine drinking	mg_L														011041_8/8/2022_Oral methamphetamine	011041_8/8/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		4.59999847412109	1.5	0.754098296165466	2	4.59999847412111	1.5	0.754098299144883	
15111	Oral methamphetamine	SUC0003	011041	DBA/2J	M	2022-08-10T00:00:00Z	2022-05-03T00:00:00Z	Marina	99	14.1428571428571			74.5999984741211	84	71	80.5999984741211	2							Day 5- Day 7	20	Methamphetamine drinking	mg_L														011041_8/10/2022_Oral methamphetamine	011041_8/10/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		3.59999847412109	3.40000152587891	0.514285504817963	3	3.59999847412109	3.40000152587891	0.514285496303013	
15121	Oral methamphetamine	SUC0003	011041	DBA/2J	M	2022-08-14T00:00:00Z	2022-05-03T00:00:00Z	Marina	103	14.7142857142857			86.9000015258789	80.5999984741211	83.3000030517578	77.1999969482422	2							Day 7- Day 9	40	Methamphetamine drinking	mg_L														011041_8/14/2022_Oral methamphetamine	011041_8/14/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		3.59999847412109	3.40000152587891	0.514285504817963	4	3.59999847412111	3.40000152587889	0.514285496303016	
15131	Oral methamphetamine	SUC0003	011041	DBA/2J	M	2022-08-16T00:00:00Z	2022-05-03T00:00:00Z	Marina	105	15			83.3000030517578	77.1999969482422	81	71.5	2							Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011041_8/16/2022_Oral methamphetamine	011041_8/16/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		2.30000305175781	5.69999694824219	0.287500381469727	5	2.3000030517578	5.6999969482422	0.287500381469725	
15093	Oral methamphetamine	SUC0003	011042	DBA/2J	M	2022-08-05T00:00:00Z	2022-05-03T00:00:00Z	Marina	94	13.4285714285714			84.0999984741211	83.6999969482422	82.5	69.5	2							Day 1- Day 3		Both Water Bottles															011042_8/5/2022_Oral methamphetamine	011042_8/5/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		1.59999847412109	14.1999969482422	0.101265758275986	1	1.59999847412109	14.1999969482422	0.1012657555493	
15103	Oral methamphetamine	SUC0003	011042	DBA/2J	M	2022-08-08T00:00:00Z	2022-05-03T00:00:00Z	Marina	97	13.8571428571429			80.6999969482422	76.4000015258789	75.9000015258789	66.8000030517578	2							Day 3- Day 5	20	Methamphetamine drinking	mg_L														011042_8/8/2022_Oral methamphetamine	011042_8/8/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		4.79999542236328	9.59999847412109	0.333333164453506	2	4.7999954223633	9.59999847412111	0.333333156726904	
15113	Oral methamphetamine	SUC0003	011042	DBA/2J	M	2022-08-10T00:00:00Z	2022-05-03T00:00:00Z	Marina	99	14.1428571428571			75.9000015258789	79.5999984741211	70.0999984741211	73.1999969482422	2							Day 5- Day 7	20	Methamphetamine drinking	mg_L														011042_8/10/2022_Oral methamphetamine	011042_8/10/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		5.80000305175781	6.40000152587891	0.475409895181656	3	5.80000305175781	6.40000152587889	0.475409907828194	
15123	Oral methamphetamine	SUC0003	011042	DBA/2J	M	2022-08-14T00:00:00Z	2022-05-03T00:00:00Z	Marina	103	14.7142857142857			81	73.1999969482422	74.3000030517578	67.6999969482422	2							Day 7- Day 9	40	Methamphetamine drinking	mg_L														011042_8/14/2022_Oral methamphetamine	011042_8/14/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		6.69999694824219	5.5	0.549180209636688	4	6.6999969482422	5.5	0.549180215098951	
15133	Oral methamphetamine	SUC0003	011042	DBA/2J	M	2022-08-16T00:00:00Z	2022-05-03T00:00:00Z	Marina	105	15			74.3000030517578	81.4000015258789	70.0999984741211	71.8000030517578	2							Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011042_8/16/2022_Oral methamphetamine	011042_8/16/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		4.20000457763672	9.59999847412109	0.304348081350327	5	4.2000045776367	9.59999847412111	0.304348090495655	
15086	Oral methamphetamine	SUC0004	011043	C57BL/6J	M	2022-08-05T00:00:00Z	2022-05-24T00:00:00Z	Marina	73	10.4285714285714			83.9000015258789	81.8000030517578	75.5999984741211	78.0999984741211	2							Do Not Use, no bodyweights, no sucrose data, FTK; Day 1- Day 3		Both Water Bottles															011043_8/5/2022_Oral methamphetamine	011043_8/5/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		8.30000305175781	3.70000457763672	0.691666483879089	1	8.30000305175781	3.7000045776367	0.691666481230113	
15096	Oral methamphetamine	SUC0004	011043	C57BL/6J	M	2022-08-08T00:00:00Z	2022-05-24T00:00:00Z	Marina	76	10.8571428571429			77	78.0999984741211	72.8000030517578	75.4000015258789	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 3- Day 5	20	Methamphetamine drinking	mg_L														011043_8/8/2022_Oral methamphetamine	011043_8/8/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		4.19999694824219	2.69999694824219	0.60869574546814	2	4.1999969482422	2.69999694824219	0.608695748322638	
15106	Oral methamphetamine	SUC0004	011043	C57BL/6J	M	2022-08-10T00:00:00Z	2022-05-24T00:00:00Z	Marina	78	11.1428571428571			81.5999984741211	75.4000015258789	76.8000030517578	71.0999984741211	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 5- Day 7	20	Methamphetamine drinking	mg_L														011043_8/10/2022_Oral methamphetamine	011043_8/10/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		4.79999542236328	4.30000305175781	0.527472138404846	3	4.7999954223633	4.30000305175781	0.527472112881523	
15116	Oral methamphetamine	SUC0004	011043	C57BL/6J	M	2022-08-14T00:00:00Z	2022-05-24T00:00:00Z	Marina	82	11.7142857142857			79.4000015258789	71.0999984741211	75.5999984741211	66.3000030517578	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 7- Day 9	40	Methamphetamine drinking	mg_L														011043_8/14/2022_Oral methamphetamine	011043_8/14/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		3.80000305175781	4.79999542236328	0.441860884428024	4	3.80000305175781	4.7999954223633	0.441860898370236	
15126	Oral methamphetamine	SUC0004	011043	C57BL/6J	M	2022-08-16T00:00:00Z	2022-05-24T00:00:00Z	Marina	84	12			75.5999984741211	89.1999969482422	71.9000015258789	84.9000015258789	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011043_8/16/2022_Oral methamphetamine	011043_8/16/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		3.69999694824219	4.29999542236328	0.462500065565109	5	3.69999694824219	4.2999954223633	0.462500059604701	
15087	Oral methamphetamine	SUC0004	011044	C57BL/6J	M	2022-08-05T00:00:00Z	2022-05-24T00:00:00Z	Marina	73	10.4285714285714			87.5	84.4000015258789	80.8000030517578	33.7000007629395	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 1- Day 3		Both Water Bottles															011044_8/5/2022_Oral methamphetamine	011044_8/5/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		6.69999694824219	50.7000007629395	0.116724692285061	1	6.6999969482422	50.7000007629394	0.11672469016383	
15097	Oral methamphetamine	SUC0004	011044	C57BL/6J	M	2022-08-08T00:00:00Z	2022-05-24T00:00:00Z	Marina	76	10.8571428571429			80	83.8000030517578	73.9000015258789	81.4000015258789	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 3- Day 5	20	Methamphetamine drinking	mg_L														011044_8/8/2022_Oral methamphetamine	011044_8/8/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		6.09999847412109	2.40000152587891	0.717646896839142	2	6.09999847412109	2.40000152587889	0.717646879308365	
15107	Oral methamphetamine	SUC0004	011044	C57BL/6J	M	2022-08-10T00:00:00Z	2022-05-24T00:00:00Z	Marina	78	11.1428571428571			73.9000015258789	81.4000015258789	70	73.5999984741211	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 5- Day 7	20	Methamphetamine drinking	mg_L														011044_8/10/2022_Oral methamphetamine	011044_8/10/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		3.90000152587891	7.80000305175781	0.333333343267441	3	3.90000152587891	7.80000305175781	0.333333333333333	
15117	Oral methamphetamine	SUC0004	011044	C57BL/6J	M	2022-08-14T00:00:00Z	2022-05-24T00:00:00Z	Marina	82	11.7142857142857			83.6999969482422	73.5999984741211	77.0999984741211	68.4000015258789	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 7- Day 9	40	Methamphetamine drinking	mg_L														011044_8/14/2022_Oral methamphetamine	011044_8/14/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		6.59999847412109	5.19999694824219	0.559322118759155	4	6.59999847412111	5.19999694824219	0.559322121567337	
15127	Oral methamphetamine	SUC0004	011044	C57BL/6J	M	2022-08-16T00:00:00Z	2022-05-24T00:00:00Z	Marina	84	12			77.0999984741211	84.5999984741211	73.3000030517578	41.0999984741211	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011044_8/16/2022_Oral methamphetamine	011044_8/16/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		3.79999542236328	43.5	0.080338180065155	5	3.7999954223633	43.5	0.0803381773810208	
15090	Oral methamphetamine	SUC0004	011045	C57BL/6J	M	2022-08-05T00:00:00Z	2022-05-24T00:00:00Z	Marina	73	10.4285714285714			82.5999984741211	85.1999969482422	34.4000015258789	83.1999969482422	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 1- Day 3		Both Water Bottles															011045_8/5/2022_Oral methamphetamine	011045_8/5/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		48.1999969482422	2	0.960159361362457	1	48.1999969482422	2	0.960159360127809	
15100	Oral methamphetamine	SUC0004	011045	C57BL/6J	M	2022-08-08T00:00:00Z	2022-05-24T00:00:00Z	Marina	76	10.8571428571429			79.0999984741211	83.1999969482422	75.8000030517578	80.0999984741211	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 3- Day 5	20	Methamphetamine drinking	mg_L														011045_8/8/2022_Oral methamphetamine	011045_8/8/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		3.29999542236328	3.09999847412109	0.515624761581421	2	3.2999954223633	3.09999847412111	0.515624776482369	
15110	Oral methamphetamine	SUC0004	011045	C57BL/6J	M	2022-08-10T00:00:00Z	2022-05-24T00:00:00Z	Marina	78	11.1428571428571			75.8000030517578	80.0999984741211	73.5	74.4000015258789	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 5- Day 7	20	Methamphetamine drinking	mg_L														011045_8/10/2022_Oral methamphetamine	011045_8/10/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		2.30000305175781	5.69999694824219	0.287500381469727	3	2.3000030517578	5.69999694824219	0.287500381469725	
15120	Oral methamphetamine	SUC0004	011045	C57BL/6J	M	2022-08-14T00:00:00Z	2022-05-24T00:00:00Z	Marina	82	11.7142857142857			82	74.4000015258789	79.1999969482422	74.4000015258789	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 7- Day 9	40	Methamphetamine drinking	mg_L														011045_8/14/2022_Oral methamphetamine	011045_8/14/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		2.80000305175781	0	1	4	2.8000030517578	0	1	
15130	Oral methamphetamine	SUC0004	011045	C57BL/6J	M	2022-08-16T00:00:00Z	2022-05-24T00:00:00Z	Marina	84	12			79.1999969482422	74.8000030517578	77.0999984741211	67.0999984741211	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011045_8/16/2022_Oral methamphetamine	011045_8/16/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		2.09999847412109	7.70000457763672	0.214285492897034	5	2.09999847412111	7.70000457763671	0.214285491854458	
15092	Oral methamphetamine	SUC0004	011046	C57BL/6J	M	2022-08-05T00:00:00Z	2022-05-24T00:00:00Z	Marina	73	10.4285714285714			85.8000030517578	85.5999984741211	70.6999969482422	84.3000030517578	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 1- Day 3		Both Water Bottles															011046_8/5/2022_Oral methamphetamine	011046_8/5/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		15.1000061035156	1.29999542236328	0.920732021331787	1	15.1000061035156	1.2999954223633	0.920731993816468	
15102	Oral methamphetamine	SUC0004	011046	C57BL/6J	M	2022-08-08T00:00:00Z	2022-05-24T00:00:00Z	Marina	76	10.8571428571429			78.8000030517578	84.3000030517578	66.4000015258789	83.5999984741211	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 3- Day 5	20	Methamphetamine drinking	mg_L														011046_8/8/2022_Oral methamphetamine	011046_8/8/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		12.4000015258789	0.700004577636719	0.946564555168152	2	12.4000015258789	0.700004577636705	0.946564560954758	
15112	Oral methamphetamine	SUC0004	011046	C57BL/6J	M	2022-08-10T00:00:00Z	2022-05-24T00:00:00Z	Marina	78	11.1428571428571			80.0999984741211	83.5999984741211	71.8000030517578	78.1999969482422	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 5- Day 7	20	Methamphetamine drinking	mg_L														011046_8/10/2022_Oral methamphetamine	011046_8/10/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		8.29999542236328	5.40000152587891	0.605839192867279	3	8.2999954223633	5.40000152587889	0.605839216878676	
15122	Oral methamphetamine	SUC0004	011046	C57BL/6J	M	2022-08-14T00:00:00Z	2022-05-24T00:00:00Z	Marina	82	11.7142857142857			82.0999984741211	78.1999969482422	71.5	73.6999969482422	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 7- Day 9	40	Methamphetamine drinking	mg_L														011046_8/14/2022_Oral methamphetamine	011046_8/14/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		10.5999984741211	4.5	0.701986730098724	4	10.5999984741211	4.5	0.701986724852174	
15132	Oral methamphetamine	SUC0004	011046	C57BL/6J	M	2022-08-16T00:00:00Z	2022-05-24T00:00:00Z	Marina	84	12			71.5	73.6999969482422	63.9000015258789	66.8000030517578	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011046_8/16/2022_Oral methamphetamine	011046_8/16/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		7.59999847412109	6.89999389648438	0.52413809299469	5	7.5999984741211	6.8999938964844	0.524138101584652	
15094	Oral methamphetamine	SUC0004	011047	C57BL/6J	M	2022-08-05T00:00:00Z	2022-05-24T00:00:00Z	Marina	73	10.4285714285714			86.9000015258789	84.5999984741211	77.8000030517578	82.4000015258789	2							Do Not Use, no bodyweights, no sucrose data, FTK;Day 1- Day 3		Both Water Bottles															011047_8/5/2022_Oral methamphetamine	011047_8/5/2022_Oral methamphetamine	yes		AX27	to CLIMB	B6J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		9.09999847412109	2.19999694824219	0.805309951305389	1	9.09999847412111	2.19999694824219	0.805309925711273	
